method,n_simul,t_max,n_grid,time,lag,error_fro,rel_error_fro,error_nuc,rel_error_nuc,error_sup,rel_error_sup
space,100,1600,101,1.41115643024445,0,0.0116592442392398,0.0190045369926911,0.0190546593404119,0.0149500742643943,0.0217397354021269,0.0151505653551845
space,100,800,101,0.839964699745178,0,0.0113430983886184,0.0184892200999375,0.0201883710731118,0.0158395719088015,0.024666840714749,0.0171904844029597
space,100,400,101,0.600564312934876,0,0.0122415319303792,0.0199536643751851,0.0241457349064998,0.0189444756566687,0.0244023016314285,0.0170061253665357
space,100,200,101,0.46954409122467,0,0.0163325580381693,0.0266220260123739,0.0336321720242313,0.0263874289459888,0.0390325551307693,0.027202045772402
space,100,100,101,0.406197242736816,0,0.0197601513042655,0.0322089938882327,0.0417162169144601,0.0327300808562909,0.051056551493766,0.0355816483461417
space,100,3200,101,2.43717044591904,0,0.0108349991254027,0.0176610196569582,0.0147317022739997,0.0115583301229714,0.0203789745496568,0.0142022421191019
space,100,50,101,0.361188933849335,0,0.0206293274863177,0.0336257487452399,0.0463887083226167,0.0363960657633805,0.0490887562175728,0.034210278806167
space,100,6400,101,3.78200641870499,0,0.0108995725568813,0.0177662741779288,0.0137443799261302,0.0107836879653842,0.0208007000271115,0.0144961453929891
space,100,1600,101,1.42484379529953,0,0.0116592442392398,0.0190045369926911,0.0190546593404119,0.0149500742643943,0.0217397354021269,0.0151505653551845
space,100,800,101,0.835755217075348,0,0.0113430983886184,0.0184892200999375,0.0201883710731118,0.0158395719088015,0.024666840714749,0.0171904844029597
space,100,400,101,0.605502405166626,0,0.0122415319303792,0.0199536643751851,0.0241457349064998,0.0189444756566687,0.0244023016314285,0.0170061253665357
space,100,200,101,0.479807372093201,0,0.0163325580381693,0.0266220260123739,0.0336321720242313,0.0263874289459888,0.0390325551307693,0.027202045772402
space,100,100,101,0.403388848304748,0,0.0197601513042655,0.0322089938882327,0.0417162169144601,0.0327300808562909,0.051056551493766,0.0355816483461417
space,100,3200,101,2.4759910941124,0,0.0108349991254027,0.0176610196569582,0.0147317022739997,0.0115583301229714,0.0203789745496568,0.0142022421191019
space,100,50,101,0.375472905635834,0,0.0206293274863177,0.0336257487452399,0.0463887083226167,0.0363960657633805,0.0490887562175728,0.034210278806167
space,100,6400,101,3.86416990756989,0,0.0108995725568813,0.0177662741779288,0.0137443799261302,0.0107836879653842,0.0208007000271115,0.0144961453929891
