method,n_simul,t_max,n_grid,time,lag,error_fro,rel_error_fro,error_nuc,rel_error_nuc,error_sup,rel_error_sup
bm_sm,100,800,501,5.85201012849808,0,0.0262238585324595,0.0337670167270543,0.0282962178608153,0.0318473074531301,0.0561620303597279,0.0320835776158955
bm_hybrid,100,800,501,7.48051263570786,0,0.0279249952919944,0.03595747673671,0.0297020998600049,0.0334296233828154,0.0639226845868786,0.036516991982365
eig_sm,100,800,501,6.62552302598954,0,0.0192353053809688,0.0247682421618163,0.0215906467554695,0.0243002074947112,0.0402309723140735,0.0229826720033804
bm_sm,100,800,201,1.34578776836395,0,0.0298831900337085,0.0384753743647754,0.0325306141955326,0.0366069830674529,0.0574759666187823,0.0328341875151405
eig_hybrid,100,800,501,8.2732874584198,0,0.0212590727591993,0.0273741358302782,0.0233344260999176,0.0262628258625165,0.0454483751125518,0.0259632079022108
bm_hybrid,100,800,201,1.51284758329392,0,0.0252476209224263,0.0325069601242212,0.0272538337762037,0.0306689761703201,0.0496013475149981,0.0283356686476133
bm_spec,100,800,201,7.40934417963028,0,0.0356234656003084,0.0458661265278735,0.0382662874879969,0.0430613861056384,0.0833394382533554,0.0476091643863356
eig_sm,100,800,201,1.440372402668,0,0.0245626237961392,0.0316250087380752,0.0264272974152716,0.0297388676151171,0.0464269808600379,0.0265222541698355
eig_hybrid,100,800,201,1.60085604906082,0,0.0252924509574653,0.0325646799452632,0.028053002034372,0.0315682871614673,0.0528304631082059,0.0301803594485297
lietal,100,800,501,14.6225943613052,0,0.00362106897567363,0.00466265086505259,0.0054811109727106,0.00616897378975755,0.0145101158778076,0.00828916664870256
bm_sm,100,800,101,0.577458183765411,0,0.0252174010832001,0.0324626862932915,0.0283842921810555,0.0319321821904107,0.0548009003238241,0.0313060074163758
eig_spec,100,800,201,7.47363021612167,0,0.0366239006122007,0.0471542122900282,0.0387800442374096,0.0436395210438076,0.0731952037439785,0.0418140865882078
bm_hybrid,100,800,101,0.527130393981934,0,0.0333982722174422,0.0429940274239867,0.0359905094028256,0.0404891373033344,0.070790780785672,0.040440516400126
bm_spec,100,800,101,1.47603198051453,0,0.0175435970083417,0.0225840991408561,0.020273947683076,0.022808086493942,0.0404309188701373,0.0230968950969797
eig_sm,100,800,101,0.59171178817749,0,0.0308400096065445,0.0397007429051171,0.0325479385635516,0.0366162628789208,0.0619006362687753,0.0353618602369238
lietal,100,800,201,7.06972136259079,0,0.0247861700372238,0.0319128302626135,0.0266287617196218,0.0299655771489031,0.0557093288020383,0.0318249636471707
eig_hybrid,100,800,101,0.549029853343964,0,0.0190382772530143,0.0245082203352449,0.0208072921244864,0.0234080962375257,0.0397721482845836,0.0227205604616878
eig_spec,100,800,101,1.48457340955734,0,0.030066282282473,0.0387047137221331,0.0319557959427637,0.0359501054870403,0.0709324092984527,0.0405214242546554
lietal,100,800,101,4.79106841087341,0,0.0211769588087771,0.0272613727396862,0.0231609475738402,0.0260559464690133,0.0480933170809188,0.0274741789334948
bm_spec,100,800,501,86.2811568260193,0,0.0291156170040811,0.0374905746680409,0.0310257565602822,0.0349193949877514,0.0531662112669546,0.0303721616686705
eig_spec,100,800,501,86.0799182844162,0,0.0267834387770221,0.0344875573543951,0.0292966345624122,0.0329732734191019,0.057836283544362,0.0330400250885707
bm_sm,100,800,1001,17.8908746385574,0,0.0222560129030232,0.0286586902111691,0.0242700356139014,0.0273173744880982,0.0530764441842657,0.030320880595918
bm_hybrid,100,800,1001,24.6475659871101,0,0.0298075112247461,0.038382626478434,0.0326254951808906,0.0367219432181446,0.0650755248367971,0.0371755728669962
eig_sm,100,800,1001,26.8161893677711,0,0.0286974811860097,0.0369532596307486,0.0307831443735662,0.0346482673594531,0.0610471663769776,0.0348743000945832
lietal,100,800,1001,31.424318227768,0,0.0349660659634597,0.0450252098934566,0.0370191349095743,0.0416672471206033,0.0683904401066384,0.0390692782880582
eig_hybrid,100,800,1001,31.8268924927711,0,0.0240319924954322,0.030945589000363,0.0264343662114121,0.0297534578292527,0.0511195055117064,0.0292029439154161
bm_spec,100,800,1001,289.161317031384,0,0.0126743611443406,0.0163205598074935,0.0145465368693309,0.0163729959644902,0.0315071554523625,0.0179990335274064
eig_spec,100,800,1001,294.030072786808,0,0.0364494011686891,0.0469352754703963,0.0386565223458293,0.0435102244647595,0.0659304776590885,0.037663980160255
