method,n_simul,t_max,n_grid,time,lag,error_fro,rel_error_fro,error_nuc,rel_error_nuc,error_sup,rel_error_sup
bm_sm,100,6400,101,4.46093212604523,0,0.00725580865803997,0.00934049625070283,0.00895930142765083,0.0100791678602258,0.0162941031159685,0.00930830168806438
bm_hybrid,100,6400,101,3.77965406656265,0,0.00691019345853865,0.00889558133807611,0.0085390822735267,0.00960642348091209,0.0163177426531307,0.00932180620206593
eig_sm,100,6400,101,4.41079449892044,0,0.00783952651820585,0.010091923795351,0.00864081490583544,0.00972087216713865,0.0171214195170877,0.00978092117489912
bm_spec,100,6400,101,11.3301578426361,0,0.0111755448191785,0.0143864232648185,0.0127306878373931,0.0143219581041448,0.0230073116259946,0.0131433437067297
eig_hybrid,100,6400,101,3.84022743225098,0,0.00656168439969691,0.00844694112292377,0.0072372149155892,0.00814182942317635,0.0122944206631896,0.00702341060434242
bm_sm,100,3200,101,2.23853276968002,0,0.0146459387965969,0.0188539062790819,0.0163590437975196,0.0184038398305368,0.0315948866403928,0.0180491515584404
eig_spec,100,6400,101,11.4997785234451,0,0.0108732947806301,0.0139973328842849,0.0116349907956827,0.0130893045879602,0.0214084130811001,0.0122299439375887
bm_spec,100,3200,101,5.79748083114624,0,0.0172616335837773,0.0222211239806636,0.0190409546354562,0.0214209756798001,0.0326154600997761,0.0186321726420287
bm_hybrid,100,3200,101,1.92894148588181,0,0.0112533730662485,0.0144866125730289,0.0128877048182655,0.0144986013971403,0.0211099296522794,0.0120594298697338
eig_sm,100,3200,101,2.27636365413666,0,0.00506002187376688,0.00651383154764187,0.00595002346478223,0.00669374568520875,0.0163089254510711,0.00931676921560333
eig_hybrid,100,3200,101,1.94077197790146,0,0.0125712155468039,0.0161830882284344,0.013774808727796,0.0154965887163329,0.0288055771920959,0.0164557079880072
eig_spec,100,3200,101,5.84883593797684,0,0.00769558540455099,0.00990662653962394,0.00873917582210499,0.00983152769022515,0.0161928266778057,0.00925044568742405
bm_sm,100,1600,101,1.17363703012466,0,0.01562564016015,0.0201150885048475,0.0177468717882936,0.0199651391565044,0.0418740410151652,0.0239213047747043
bm_spec,100,1600,101,2.95233321428299,0,0.0194794898440858,0.0250761990054237,0.0218613250719795,0.0245938778627766,0.0410249736549013,0.0234362596582855
bm_hybrid,100,1600,101,1.00639911174774,0,0.0125074867394342,0.0161010493111541,0.0146343066728376,0.0164635194679713,0.0271451423508173,0.015507154494391
eig_sm,100,1600,101,1.17755921840668,0,0.0121657706381067,0.0156611537579938,0.013572935401369,0.0152694822661269,0.0249458824924436,0.0142507874451282
eig_spec,100,1600,101,2.97112020730972,0,0.017494418877681,0.0225207914977385,0.0185608187625958,0.0208808253011846,0.035345965457769,0.0201920233102233
eig_hybrid,100,1600,101,1.03202649831772,0,0.0126472270602439,0.0162809388319656,0.0140244007492796,0.0157773784521646,0.0313084156644285,0.0178854998219704
bm_sm,100,800,101,0.627197072505951,0,0.0319990739215675,0.0411928213761777,0.0345738241202341,0.038895373673027,0.0718552465999511,0.0410486117868694
lietal,100,1600,101,18.5262337470055,0,0.0159073703809458,0.0204777634588152,0.0172020147823222,0.0193521778372148,0.0324371095571774,0.0185302866624861
bm_spec,100,800,101,1.51682253837585,0,0.0316529710181236,0.0407472786359632,0.0344877303073824,0.0387985185779655,0.0728870157675441,0.041638028621662
bm_hybrid,100,800,101,0.548990983963012,0,0.0365899453172827,0.047102709450696,0.0396788556183535,0.0446385077573968,0.080651039537565,0.0460733679005593
eig_sm,100,800,101,0.60058210849762,0,0.0280977569320039,0.0361706055996572,0.030069173285994,0.0338276647364925,0.0594553021660003,0.0339649188161692
eig_hybrid,100,800,101,0.545280058383942,0,0.0244912216641771,0.0315278661429274,0.0263808634734953,0.0296783352356499,0.0529759801085059,0.0302634886720221
eig_spec,100,800,101,1.51577203989029,0,0.0228590739347128,0.0294267812789045,0.0250692482100397,0.0282027748345229,0.0473924552505947,0.0270737989118468
bm_sm,100,400,101,0.311271185874939,0,0.0437111779112161,0.0562699641949777,0.0470834416499202,0.0529686288221162,0.0760748753345639,0.0434591511699735
bm_spec,100,400,101,0.761751642227173,0,0.0338419483313569,0.0435651774189573,0.0363055241967499,0.0408435273204643,0.0661103545029251,0.0377667380670395
bm_hybrid,100,400,101,0.311719601154327,0,0.0390991973718558,0.0503329020470563,0.0419675378635451,0.0472132634695789,0.0750211845544957,0.0428572112167891
eig_sm,100,400,101,0.325958814620972,0,0.0479524399210369,0.0617297955891095,0.0512216912349597,0.0576241382445801,0.0859282654846922,0.0490880788571753
eig_spec,100,400,101,0.784390847682953,0,0.0365001849950458,0.0469871598279276,0.0394631374885848,0.0443958259748951,0.0684054707952508,0.0390778648413154
eig_hybrid,100,400,101,0.322560608386993,0,0.0321767335298706,0.041421524885802,0.0346952757776313,0.0390320061606928,0.0712858930248452,0.0407233582392181
lietal,100,400,101,1.57575026512146,0,0.047873453058547,0.0616281147802964,0.0510126665213848,0.0573889865207465,0.0924121875863568,0.0527921368599171
lietal,100,800,101,5.18829912900924,0,0.0233014383299883,0.0299962426815197,0.0252856691532094,0.0284462472784729,0.0576586868782771,0.0329385697746484
bm_sm,100,200,101,0.16638117313385,0,0.0666570444246545,0.0858084746820769,0.0712159934379489,0.080117625016891,0.138051697344437,0.0788645338921436
bm_hybrid,100,200,101,0.196649565696716,0,0.0667804549898199,0.0859673426974217,0.070294397957312,0.0790808348582413,0.131078935742202,0.0748812174659113
bm_spec,100,200,101,0.399630813598633,0,0.0610357291342798,0.0785720828657653,0.0656431701724536,0.0738482276088582,0.126813031850071,0.0724442425604728
eig_sm,100,200,101,0.187581067085266,0,0.0658678278278446,0.0847925059581323,0.0710394893562963,0.0799190588361059,0.141054751612344,0.0805800830642801
eig_hybrid,100,200,101,0.209156868457794,0,0.0365816438498574,0.0470920228644013,0.0400798427573238,0.0450896162189338,0.0798145024162764,0.0455954809102291
bm_sm,100,100,101,0.0899907064437866,0,0.096421644359636,0.12412482881971,0.101951876737375,0.114695335077088,0.227627420453776,0.130036289016923
eig_spec,100,200,101,0.419387300014496,0,0.0587738553574997,0.0756603435232225,0.0628174659085235,0.0706693248975812,0.128906771550556,0.0736403293072968
bm_hybrid,100,100,101,0.132037489414215,0,0.0971145890176362,0.125016865432724,0.102258390577105,0.11504016156463,0.189659289000463,0.108346305862639
bm_spec,100,100,101,0.208128352165222,0,0.0992327392592172,0.127743587611098,0.105423486315135,0.118600877932408,0.232390321040717,0.132757182290887
eig_sm,100,100,101,0.100171184539795,0,0.0891564688165737,0.114772274456872,0.0958335478971007,0.107812246713206,0.20453090740013,0.116841987378132
lietal,100,200,101,0.549267880916596,0,0.0279872624538134,0.0360283646299869,0.0318104402694053,0.0357865811048051,0.0671850564995287,0.0383806810584366
eig_spec,100,100,101,0.224090967178345,0,0.105219825527442,0.135450841133973,0.110507372974132,0.12432022418191,0.207349673492226,0.118452258590151
eig_hybrid,100,100,101,0.146089942455292,0,0.073396869542887,0.0944847386540446,0.0795585032561291,0.0895029055002007,0.160901726285363,0.0919180270147382
bm_sm,100,50,101,0.0481299448013306,0,0.155080863290729,0.199637599389798,0.162444126604083,0.182748803929865,0.292660965055679,0.167187879913967
bm_spec,100,50,101,0.113170223236084,0,0.166689294896929,0.214581283409649,0.174198592508458,0.1959725173984,0.361233370470235,0.206361109181763
lietal,100,100,101,0.227459683418274,0,0.0744540174723299,0.095845618844905,0.0793115020185414,0.0892250303828789,0.14539338642924,0.0830586068285264
bm_hybrid,100,50,101,0.106739568710327,0,0.128817427667446,0.165828339315385,0.138244075293644,0.155523871120796,0.263290347964549,0.150409382643938
eig_sm,100,50,101,0.0636508274078369,0,0.155037443254909,0.19958170421658,0.161715889003867,0.181929540388619,0.297268534598522,0.169820037514068
eig_spec,100,50,101,0.125730369091034,0,0.123395023569225,0.158848008447219,0.131260605685705,0.14766750385895,0.256120518413811,0.146313487580842
eig_hybrid,100,50,101,0.123909728527069,0,0.126291704421899,0.162576943142031,0.133212726990833,0.149863630250812,0.272413656205014,0.15562123780964
lietal,100,50,101,0.117969813346863,0,0.137745667321153,0.177321777599265,0.14630464591136,0.16459197145889,0.277109291605845,0.158303704627053
lietal,100,3200,101,62.4733184289932,0,0.0114990732470145,0.0148029055908581,0.0123933056309607,0.0139424048633987,0.0237606375051274,0.0135736947670174
lietal,100,6400,101,182.631914587021,0,0.00192999859493305,0.00248451213220162,0.00263770212444125,0.00296740127477645,0.00493339387213454,0.00281829065282352
