method,n_simul,n_pc,t_max,n_grid,time,lag,error_fro,rel_error_fro,error_nuc,rel_error_nuc,error_sup,rel_error_sup
CKL,1000,200,1000,1001,12.3105731928349,0,0.00435840974378595,0.00316424641876829,0.0170835505205519,0.00711576672808428,0.0250330325930017,0.00803824880907666
CKL,1000,200,1000,1001,12.3105731928349,1,0.00494739245175234,0.0035918533979093,0.0151475210484669,0.00630935742309354,0.0212290652147571,0.00681677329929406
CKL,1000,200,1000,1001,12.3105731928349,2,0.00443471438022652,0.00321964430166278,0.0130962920132631,0.00545496434462753,0.0152786155778939,0.00490605015661106
CKL,1000,200,1000,1001,12.3105731928349,3,0.00475973189243684,0.00345561006888207,0.0130348685167122,0.00542937977586042,0.0155719474333954,0.00500024067984826
CKL,1000,200,1000,1001,12.3105731928349,5,0.00688674337879686,0.00499984039004213,0.0143943274706714,0.00599563166718369,0.022306068754047,0.00716260524693785
CKL,1000,200,1000,1001,12.3105731928349,10,0.00513001260385715,0.00372443734394982,0.0110598087732759,0.00460671329377197,0.0145468241379668,0.00467106777288936
CKL,1000,200,1000,1001,12.3105731928349,20,0.00497675251921976,0.00361316908271178,0.0110403887194441,0.0045986243094155,0.0167351120245935,0.00537373943015839
CKL,1000,200,1000,1001,12.3105731928349,30,0.00885196370035253,0.00642660880561829,0.0146444570662829,0.0060998174950665,0.0228639010286181,0.00734172835557748
CKL,1000,200,1000,1001,12.3105731928349,40,0.0044482726828338,0.0032294877567282,0.00984942951254657,0.00410255717812729,0.0147924598149659,0.00474994278256983
CKL,1000,200,1000,1001,12.3105731928349,60,0.00729172359030531,0.00529385982815592,0.0130499084866702,0.00543564433530839,0.0244533405542869,0.00785210640613292
CKL,1000,200,1000,1001,12.3105731928349,80,0.00818991317493523,0.00594595390457734,0.0149152848075838,0.00621262466757274,0.027233790977924,0.008744924814109
CKL,1000,200,1000,1001,12.3105731928349,100,0.00880199087696041,0.00639032806636937,0.0153587910991116,0.00639735718609419,0.0246067353848447,0.00790136235662427
CKL,1000,300,1000,1001,18.4431149230003,0,0.00439076829396677,0.00318773903018972,0.0150284658087207,0.00625976765469198,0.0221869253067917,0.00712434760997552
