method,n_simul,t_max,n_grid,time,lag,error_fro,rel_error_fro,error_nuc,rel_error_nuc,error_sup,rel_error_sup
lowrank_hybrid,100,6400,101,8.35524623155594,0,0.00140733620361771,0.00229997184524521,0.00353670131117622,0.00279825093113383,0.00378434103223158,0.00266858279582941
space,100,6400,101,4.15623168945312,0,0.00153593586336806,0.0025101388230957,0.00349925413813663,0.00276862259172749,0.005661069414298,0.0039919849496448
svd_hybrid,100,6400,101,10.4350721359253,0,0.00189506598418195,0.00309705555594757,0.00382293902868865,0.00302472325352749,0.00513227720961074,0.00361909948081986
lowrank_spec,100,6400,101,19.5842603158951,0,0.00170805839352952,0.0027914340617786,0.00358791428327529,0.00283877082078623,0.00647164906050168,0.00456357690715744
lowrank_hybrid,100,3200,101,3.99509902477264,0,0.00216176221803595,0.00353291006428776,0.0051294606604291,0.00405844791696205,0.00601924358306039,0.00424455664350881
space,100,3200,101,2.20557494401932,0,0.00199720908692309,0.00326398529163313,0.00473626550497232,0.0037473504809424,0.00748501356241249,0.0052781655376934
svd_spec,100,6400,101,21.7483288812637,0,0.00164154765882585,0.00268273735033767,0.00358499939527781,0.0028364645508088,0.00450437160110798,0.0031763227622356
lowrank_spec,100,3200,101,9.35896043777465,0,0.00277049071389419,0.00452773873299778,0.00611272326144021,0.00483640886043606,0.00791172599706269,0.00557906798072786
svd_hybrid,100,3200,101,5.34238962650299,0,0.00209545081313465,0.00342453911220141,0.00482473456641661,0.00381734752388768,0.00579189933675395,0.00408424156110557
lowrank_hybrid,100,1600,101,2.04733963727951,0,0.00303663846266117,0.00496269686685797,0.006296893845541,0.00498212529592325,0.00935566247765163,0.00659728066757386
space,100,1600,101,1.25462687492371,0,0.00424246981644091,0.00693335473572972,0.00940903056377819,0.00744445917809289,0.0144216532415522,0.0101696373027801
svd_hybrid,100,1600,101,2.71704426765442,0,0.00294202093174687,0.00480806597154661,0.0067858016644199,0.00536895093909906,0.00980647000097257,0.00691517411077005
lowrank_spec,100,1600,101,4.65081027507782,0,0.00321479941310927,0.00525386053400405,0.00702167553787862,0.00555557520503587,0.0106735885577358,0.00752663529854739
lowrank_hybrid,100,800,101,1.09483247518539,0,0.00614877772906311,0.0100487826740777,0.0108210109040521,0.00856162315499655,0.0209765744118312,0.0147919347421601
svd_spec,100,1600,101,5.32033749818802,0,0.00370301186001576,0.00605173305337556,0.00889831484204756,0.00704037904292249,0.00936883689748846,0.00660657080020783
lowrank_spec,100,800,101,2.35155069589615,0,0.00521318612460146,0.0085197703859137,0.0107861077426594,0.00853400764685118,0.0151824214193725,0.0107061039831492
